id|name|value|weight|durability|maxFatiguePenalty|rarity|description
a_cloth|粗布衣|20|2|30|0|COMMON|几乎没有防护作用。
a_robe|厚战袍|80|5|50|3|COMMON|多层麻布缝制的战袍，能缓冲轻微打击。
a_padded_leather|加厚皮袄|100|6|65|4|UNCOMMON|多层皮革与棉麻填充的战袄，提供比战袍更好的防护。
a_copper_studded|铜钉皮甲|150|7|70|5|UNCOMMON|在皮甲上加装了铜钉，强化了防护力。
a_leather|皮甲|250|10|90|8|UNCOMMON|硬化处理的牛皮甲，平衡了防护与灵活性。
a_hardened_leather|硬化皮胸甲|300|12|105|9|UNCOMMON|经过特殊工艺硬化的厚皮甲，对躯干有良好防护。
a_bronze_cuirass|青铜胸甲|400|14|110|10|UNCOMMON|用薄青铜片制成的胸部护甲，防护尚可。
a_bronze_riveted|铜钉扎甲|450|15|130|11|UNCOMMON|皮甲上铆接青铜片，防护更胜一筹。
a_iron_studded|铁钉皮甲|500|16|125|12|RARE|坚韧的牛皮甲上镶嵌了大量铁钉，提供可靠防护。
a_lamellar_l|合甲 (轻)|600|18|140|14|RARE|双层皮革夹着青铜片。
a_iron_segmented|铁片甲 (轻)|800|20|160|16|RARE|小块铁片拼接而成的轻量化扎甲。
a_composite_lamellar|复合扎甲|1000|22|175|18|RARE|铁片与皮革交错编织，兼顾防护与一定灵活性。
a_iron_cuirass|铁胸甲|1100|23|185|19|RARE|整块铁板锻打的胸甲，提供坚实防护。
a_heavy_bronze_cuirass|重型青铜胸甲|1300|25|195|20|EPIC|整块厚重青铜锻打而成的胸甲，对上半身提供极佳防护。
a_lamellar_h|青铜扎甲|1500|28|210|22|EPIC|精良的青铜甲片编缀而成，坚固但沉重。
a_reinforced_lamellar|强化扎甲|2000|30|230|24|EPIC|多层扎甲结构，防护更上一层楼。
a_iron_lamellar|铁片扎甲|2500|32|250|25|EPIC|全由铁片编缀而成的重甲，防护力远超青铜。
a_heavy_iron_lamellar|重型铁扎甲|2800|34|275|27|LEGENDARY|精钢锻造的厚重甲片，防护无懈可击，但行动受限。
a_iron_scale|铁鳞甲|3000|33|285|28|LEGENDARY|铁片仿鱼鳞状编缀，防护全面而坚固。
a_scale|精铁鱼鳞甲|3200|35|300|30|LEGENDARY|将领级别的重甲，普通刀剑难以伤其分毫。
a_steel_scale|精钢鱼鳞甲|4500|38|350|33|LEGENDARY|选用百炼精钢打造的鱼鳞甲，唯有沙场宿将方可佩戴。
a_heavy_steel_lamellar|重型精钢扎甲|4800|39|380|34|LEGENDARY|以最上等精钢打造，提供近乎无敌的防护，唯有精锐部队将领方能配备。
a_unique_xipi|犀皮甲|5500|20|320|16|UNIQUE|以南疆犀牛之皮鞣制而成的传世轻甲。犀皮坚韧异常，刀枪难入，却轻盈如常服。传闻此甲曾随一位无名剑客走遍天下，历经百战而完好如初。
a_unique_jinlv|金缕玄甲|8000|40|450|36|UNIQUE|以玄铁为底，金丝为缕，由百名工匠耗时三年打造的王侯之甲。甲片层叠如龙鳞，刀枪不入，箭矢难穿。穿戴此甲者，如同移动的铁壁，所向无前。
