id|title|description|c1_text|c1_consequence|c1_gold|c1_food|c1_morale|c2_text|c2_consequence|c2_gold|c2_food|c2_morale
e1|林间避雨|一场突如其来的暴雨迫使战团在破旧的土地庙避雨。一名自称落难士子的年轻人请求分享你们的干粮。|分享干粮|士子感激不尽，赠予你一卷古籍。士气提升，但消耗了少量口粮。|0|-10|10|拒绝并驱逐|年轻人悻悻离去。战团保持了物资，但成员们觉得首领过于吝啬。|0|0|-5
e2|路边弃弩|在官道旁的草丛里，你们发现了一把被遗弃的秦弩，弩机虽然锈蚀但零件尚好。|修补并收编|消耗一些金帛购买油漆，获得了一把可用的远程武器。|-50|0|5|拆解零件|虽然无法还原，但换得了一些零钱。|30|0|0
e3|老兵余温|在大路边你们遇到一名断了腿的前秦军老兵，他正试图向过路人兜售他残破的家传皮甲。|买下甲胄|虽然破旧，但修补后尚能一用，老兵也拿到了活命钱。|-100|0|10|置之不理|战团冷漠地走过，身后传来老兵微弱的叹息声。|0|0|-2
e4|商队雇佣|一支满载丝绸的商队在前方由于车轴断裂陷入泥沼，管事焦急地挥手请求你们帮忙推车。|仗义相助|耗费了大量体力，但商队管事慷慨地给了你们一些犒赏。|80|0|5|趁火劫掠|你们洗劫了商队。虽然发了一笔财，但名声受损，成员们也感到不安。|400|-20|-20
e5|难民求助|途经一座破败村落，见一队衣衫褴褛的难民，其中一人腿部受箭伤，恳求医治与食物。|施以援手|耗费药物与食物，难民感恩戴德，战团士气因此提升。|-50|-15|10|漠然离去|节省了物资，但部分伍员对冷酷感到不安，士气略有下降。|0|0|-5
e6|弃婴啼哭|荒野中传来微弱的婴儿啼哭声，你们循声而去，发现一个被遗弃的襁褓。|抱回抚养|战团需消耗更多口粮照料，但成员们内心充满温情，士气大振。|-20|-20|15|听天由命|你们加快了脚步，婴儿哭声渐远，沉重感笼罩心头，士气低落。|0|0|-10
e7|村妇求援|途径一小村，村妇哭诉其夫被山匪掳走，恳请伍长相助，解救无辜村民。|仗义出兵|你们突袭山寨，救出人质，得少量谢礼，但消耗了体力与时间。|50|-5|10|拒不插手|战团避开麻烦，但冷眼旁观让部分成员感到愧疚，士气微降。|0|0|-3
e8|古墓探险|发现一处被盗掘过的古墓入口，墓道深邃，不知是何人安息之地。|入墓寻宝|你们深入墓穴，遭遇陷阱，有惊无险取得一些陪葬品，但有人受伤。|150|0|-5|谨防不测|认为其不祥，你们绕道而行，避免了可能存在的危险与诅咒。|0|0|0
e9|黑市赌局|在某地集市，一名蒙面男子设局玩掷骰子，宣称可以一赌千金。|参与赌局|你投下金帛参与赌局，运气不错，赢得不少金帛。|250|0|5|保持理智|战团未受诱惑，避免了风险，但也错失了发财的机会。|0|0|0
e10|废墟探寻|途经一座被战火焚毁的城池废墟，瓦砾遍地，似乎还留存着过去的秘密。|搜寻遗物|你们在废墟中仔细搜寻，发现了一些遗落的器物与财物。|100|0|5|径直通过|战团小心翼翼地穿过废墟，未多停留，避免了潜在危险。|0|0|0
e11|队员争执|夜宿时分，两名队员因分配战利品问题发生激烈争执，几近动手。|公平裁决|你介入调解，安抚了双方情绪，消耗时间但维护了战团团结。|-10|0|5|严厉训斥|你严厉训斥两人，制止了争吵，但队员心有芥蒂，士气下降。|0|0|-5
