biome|questType|target|title1|title2|title3|description
NORTHERN_TUNDRA|HUNT|北疆狼群|驱逐狼群|猎杀狼王|荡平狼穴|{npc}面色焦虑地说道：「近日{place}一带有一群{target}频繁出没。你们若能去处理此事报酬绝不会少。」
NORTHERN_TUNDRA|HUNT|雪狼|驱逐狼群|猎杀狼王|荡平狼穴|{npc}压低声音道：「{place}那边的{target}越来越猖獗。谁能替我除了这祸害我出双倍赏金。」
NORTHERN_TUNDRA|HUNT|冻土野狼|驱逐狼群|猎杀狼王|荡平狼穴|酒肆角落{npc}拍着桌子道：「我的羊群又被{target}叼走了十几只。{place}都快成狼窝了。」
NORTHERN_TUNDRA|HUNT|白毛狼王|驱逐狼群|猎杀狼王|荡平狼穴|告示上写道：「{place}近来{target}为患袭击边民牲畜。凡能清剿此害者赏黄金若干。」
NORTHERN_TUNDRA|HUNT|冰原巨狼|驱逐狼群|猎杀狼王|荡平狼穴|{npc}神色凝重：「{place}那边出现了{target}。再拖下去边民就没法过日子了。」
NORTHERN_TUNDRA|HUNT|北疆匪帮|缉拿逃兵|清剿北疆匪帮|扫灭马贼头子|{npc}叹了口气：「一群{target}在{place}附近烧杀抢掠。能帮帮忙吗。」
NORTHERN_TUNDRA|HUNT|马贼|缉拿逃兵|清剿北疆匪帮|扫灭马贼头子|{npc}搓着手道：「听说{place}来了一股{target}。边关驻军人手不够。」
NORTHERN_TUNDRA|HUNT|北狄游骑|驱逐胡骑|截杀斥候|歼灭游骑精锐|烽火台急报：「{place}方向发现{target}活动迹象。请速派人前往歼灭。」
NORTHERN_TUNDRA|PATROL||边境巡逻|边境巡逻|边境巡逻|{npc}递来一卷边报：「{place}一带近来不太平。需要一队人沿边墙巡查一趟。」
NORTHERN_TUNDRA|PATROL||边境巡逻|边境巡逻|边境巡逻|{npc}说道：「{place}的哨塔三天前就没了回信。去查看一下情况。」
